Rank,Asn,GlobalDegree
1,6939,9443
2,24482,8723
3,49544,6986
4,199524,6118
5,39120,5777
6,35280,5185
7,271253,5063
8,37721,4705
9,137409,4163
10,6057,3909
11,51185,3751
12,64289,3592
13,1828,3364
14,42473,3179
15,25091,3057
16,37468,3046
17,23106,2950
18,267613,2925
19,7195,2810
20,6424,2760
21,58511,2751
22,41047,2667
23,41327,2665
24,12741,2619
25,5405,2564
26,34224,2562
27,39351,2524
28,34927,2455
29,13237,2426
30,4455,2312
31,35598,2276
32,34549,2219
33,3216,2184
34,37100,2163
35,20764,2114
36,12779,2113
37,60171,2105
38,38880,2086
